[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T04:59:58 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_cql_sa/epoch_012/q_typed_trust_context/alpha_0p20_decay_16
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T04:59:58 budgets=iscas99__b15_1:278
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T04:59:58 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [gmean] 2026-07-21T04:59:58 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_trust_context
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_trust_context=4.690240 sequence=39.470601
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_trust_context=4.581054 sequence=44.051654
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_trust_context=5.275425 sequence=49.327080
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_trust_context=4.775944 sequence=54.103023
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_trust_context=4.157715 sequence=58.260738
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_trust_context=6.767092 sequence=65.027830
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_trust_context=6.126657 sequence=71.154486
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_trust_context=6.005612 sequence=77.160098
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_trust_context=4.179962 sequence=81.340060
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_trust_context=6.878448 sequence=88.218508
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_trust_context=4.286184 sequence=92.504693
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_trust_context=4.510930 sequence=97.015622
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_trust_context=4.869782 sequence=101.885404
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_trust_context=5.182133 sequence=107.067538
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_trust_context=6.390000 sequence=113.457538
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_trust_context=4.529407 sequence=117.986945
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_trust_context=3.743318 sequence=121.730263
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=34 node=N2042 type=observe q_typed_trust_context=4.774671 sequence=126.504934
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_trust_context=6.601319 sequence=133.106253
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_trust_context=6.390000 sequence=139.496253
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_trust_context=6.060000 sequence=145.556253
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=38 node=N7891 type=control1 q_typed_trust_context=5.928760 sequence=151.485013
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_trust_context=5.305761 sequence=156.790774
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=40 node=N7511 type=control1 q_typed_trust_context=4.575000 sequence=161.365774
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_trust_context=4.355153 sequence=165.720927
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_trust_context=6.136533 sequence=171.857460
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=43 node=N7881 type=control1 q_typed_trust_context=4.443711 sequence=176.301171
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=44 node=N7884 type=control1 q_typed_trust_context=4.639271 sequence=180.940442
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=45 node=N7885 type=control1 q_typed_trust_context=4.899961 sequence=185.840404
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=46 node=N7886 type=control1 q_typed_trust_context=5.362680 sequence=191.203084
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=47 node=N7887 type=control1 q_typed_trust_context=4.996724 sequence=196.199808
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=48 node=N7888 type=control1 q_typed_trust_context=2.372132 sequence=198.571941
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=49 node=N7889 type=control1 q_typed_trust_context=0.831649 sequence=199.403590
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=50 node=N3889 type=control0 q_typed_trust_context=0.718527 sequence=200.122117
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=51 node=N4656 type=control0 q_typed_trust_context=2.491908 sequence=202.614025
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=52 node=N3903 type=control0 q_typed_trust_context=0.893443 sequence=203.507467
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=53 node=N4663 type=control0 q_typed_trust_context=1.046808 sequence=204.554275
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=54 node=N713 type=observe q_typed_trust_context=1.642350 sequence=206.196625
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=55 node=N724 type=observe q_typed_trust_context=1.406818 sequence=207.603443
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=56 node=N704 type=observe q_typed_trust_context=1.478172 sequence=209.081615
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=57 node=N4677 type=control0 q_typed_trust_context=1.903932 sequence=210.985547
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=58 node=N4670 type=control0 q_typed_trust_context=0.986343 sequence=211.971889
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=59 node=N3896 type=control0 q_typed_trust_context=0.974166 sequence=212.946056
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=60 node=N3882 type=control0 q_typed_trust_context=0.922200 sequence=213.868255
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_trust_context=0.940936 sequence=214.809191
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=62 node=N3722 type=control0 q_typed_trust_context=0.914694 sequence=215.723886
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=63 node=N3911 type=control0 q_typed_trust_context=0.937466 sequence=216.661352
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_trust_context=1.024664 sequence=217.686016
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=65 node=N4585 type=control0 q_typed_trust_context=1.033988 sequence=218.720004
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=66 node=N4705 type=control0 q_typed_trust_context=1.083219 sequence=219.803223
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=67 node=N4712 type=control0 q_typed_trust_context=1.169816 sequence=220.973039
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=68 node=N4716 type=control0 q_typed_trust_context=1.386317 sequence=222.359357
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=69 node=N2106 type=observe q_typed_trust_context=1.217837 sequence=223.577194
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=70 node=N4578 type=control0 q_typed_trust_context=1.000637 sequence=224.577830
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=71 node=N519 type=control1 q_typed_trust_context=1.711052 sequence=226.288882
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=72 node=N4698 type=control0 q_typed_trust_context=1.470144 sequence=227.759026
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=73 node=N4691 type=control0 q_typed_trust_context=1.341253 sequence=229.100280
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=74 node=N4684 type=control0 q_typed_trust_context=1.455189 sequence=230.555469
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=75 node=N7471 type=control0 q_typed_trust_context=1.394311 sequence=231.949780
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=76 node=N2083 type=observe q_typed_trust_context=2.352922 sequence=234.302703
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=77 node=N7370 type=control1 q_typed_trust_context=2.526960 sequence=236.829663
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=78 node=N513 type=control1 q_typed_trust_context=4.348975 sequence=241.178638
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=79 node=N504 type=control1 q_typed_trust_context=2.364271 sequence=243.542909
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_trust_context=1.823820 sequence=245.366729
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=81 node=N4557 type=control0 q_typed_trust_context=1.742711 sequence=247.109440
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=82 node=N7724 type=control0 q_typed_trust_context=3.989739 sequence=251.099179
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=83 node=N7854 type=control0 q_typed_trust_context=1.576835 sequence=252.676014
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=84 node=N7543 type=control0 q_typed_trust_context=2.142291 sequence=254.818305
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=85 node=N516 type=control1 q_typed_trust_context=2.086372 sequence=256.904677
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=86 node=N520 type=control1 q_typed_trust_context=2.182119 sequence=259.086796
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=87 node=N7722 type=control0 q_typed_trust_context=4.329457 sequence=263.416252
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=88 node=N3904 type=control0 q_typed_trust_context=1.793803 sequence=265.210055
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=89 node=N3897 type=control0 q_typed_trust_context=2.231076 sequence=267.441132
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=90 node=N1533 type=control1 q_typed_trust_context=3.224457 sequence=270.665589
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=91 node=N3862 type=control0 q_typed_trust_context=3.836357 sequence=274.501946
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=92 node=N3855 type=control0 q_typed_trust_context=2.424305 sequence=276.926251
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=93 node=N3848 type=control0 q_typed_trust_context=3.012211 sequence=279.938462
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=94 node=N3841 type=control0 q_typed_trust_context=3.642560 sequence=283.581022
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=95 node=N7723 type=control0 q_typed_trust_context=5.321350 sequence=288.902372
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=96 node=N7725 type=control0 q_typed_trust_context=2.471537 sequence=291.373909
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=97 node=N556 type=control1 q_typed_trust_context=1.991187 sequence=293.365096
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=98 node=N555 type=control1 q_typed_trust_context=2.495259 sequence=295.860355
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=99 node=N7735 type=control0 q_typed_trust_context=4.029798 sequence=299.890153
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=100 node=N634 type=control1 q_typed_trust_context=1.800940 sequence=301.691093
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=101 node=N3827 type=control0 q_typed_trust_context=2.518574 sequence=304.209667
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=102 node=N7408 type=control0 q_typed_trust_context=2.144797 sequence=306.354463
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=103 node=N7872 type=control1 q_typed_trust_context=2.221073 sequence=308.575536
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=104 node=N7541 type=control0 q_typed_trust_context=3.173972 sequence=311.749508
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=105 node=N3820 type=control0 q_typed_trust_context=4.662017 sequence=316.411524
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=106 node=N3813 type=control0 q_typed_trust_context=3.886454 sequence=320.297978
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=107 node=N3799 type=control0 q_typed_trust_context=3.238425 sequence=323.536403
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=108 node=N7820 type=control0 q_typed_trust_context=2.083455 sequence=325.619858
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=109 node=N7870 type=control1 q_typed_trust_context=3.139725 sequence=328.759583
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=110 node=N3180 type=control1 q_typed_trust_context=3.189043 sequence=331.948626
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=111 node=N620 type=control1 q_typed_trust_context=2.576997 sequence=334.525623
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=112 node=N3792 type=control0 q_typed_trust_context=3.857510 sequence=338.383132
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=113 node=N3785 type=control0 q_typed_trust_context=3.551241 sequence=341.934373
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=114 node=N3410 type=control1 q_typed_trust_context=4.069673 sequence=346.004046
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=115 node=N3701 type=control0 q_typed_trust_context=3.532198 sequence=349.536244
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=116 node=N4520 type=control0 q_typed_trust_context=4.929254 sequence=354.465498
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=117 node=N1411 type=control0 q_typed_trust_context=3.965799 sequence=358.431297
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=118 node=N3681 type=control0 q_typed_trust_context=2.427613 sequence=360.858910
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=119 node=N638 type=control1 q_typed_trust_context=1.779023 sequence=362.637933
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=120 node=N614 type=control1 q_typed_trust_context=2.056685 sequence=364.694618
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=121 node=N7588 type=control1 q_typed_trust_context=2.338775 sequence=367.033394
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=122 node=N610 type=control1 q_typed_trust_context=2.548405 sequence=369.581799
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=123 node=N7590 type=control1 q_typed_trust_context=2.756073 sequence=372.337872
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=124 node=N7877 type=control1 q_typed_trust_context=1.790712 sequence=374.128584
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=125 node=N7879 type=control1 q_typed_trust_context=1.622238 sequence=375.750822
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=126 node=N645 type=control1 q_typed_trust_context=1.757571 sequence=377.508392
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=127 node=N578 type=observe q_typed_trust_context=1.568041 sequence=379.076434
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=128 node=N7856 type=control1 q_typed_trust_context=1.296319 sequence=380.372753
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=129 node=N7892 type=control1 q_typed_trust_context=1.146475 sequence=381.519228
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=130 node=N616 type=control1 q_typed_trust_context=1.251057 sequence=382.770285
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=131 node=N636 type=control1 q_typed_trust_context=1.637614 sequence=384.407899
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=132 node=N7454 type=observe q_typed_trust_context=1.131636 sequence=385.539535
[b15-round5/prefix_cql_sa/epoch_012/q_typed_trust_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=133 node=N2157 type=observe q_typed_trust_context=2.968403 sequence=388.507937
