[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_rank/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 budgets=iscas99__b15_1:278
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N7884 type=control1 q_typed_residual_context=1.642497 sequence=171.471674
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N4663 type=control0 q_typed_residual_context=2.223421 sequence=173.695094
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=1.033673 sequence=174.728767
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N3862 type=control0 q_typed_residual_context=0.984792 sequence=175.713559
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N7886 type=control1 q_typed_residual_context=1.341940 sequence=177.055499
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N4670 type=control0 q_typed_residual_context=1.493083 sequence=178.548582
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N713 type=observe q_typed_residual_context=1.280662 sequence=179.829245
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N724 type=observe q_typed_residual_context=1.502171 sequence=181.331416
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N4677 type=control0 q_typed_residual_context=1.683209 sequence=183.014625
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=1.136656 sequence=184.151282
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N4684 type=control0 q_typed_residual_context=1.611005 sequence=185.762287
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N3897 type=control0 q_typed_residual_context=0.905383 sequence=186.667670
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4691 type=control0 q_typed_residual_context=1.484163 sequence=188.151833
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_residual_context=1.334084 sequence=189.485917
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_residual_context=1.339601 sequence=190.825519
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N3855 type=control0 q_typed_residual_context=1.125268 sequence=191.950787
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.471163 sequence=193.421950
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N3848 type=control0 q_typed_residual_context=1.082963 sequence=194.504913
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.358517 sequence=195.863431
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N7471 type=control0 q_typed_residual_context=1.168020 sequence=197.031451
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N3827 type=control0 q_typed_residual_context=1.437770 sequence=198.469221
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N3820 type=control0 q_typed_residual_context=1.766189 sequence=200.235410
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N3799 type=control0 q_typed_residual_context=2.029894 sequence=202.265303
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N3792 type=control0 q_typed_residual_context=1.287953 sequence=203.553256
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N3785 type=control0 q_typed_residual_context=2.084530 sequence=205.637786
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N3889 type=control0 q_typed_residual_context=2.001768 sequence=207.639554
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N3882 type=control0 q_typed_residual_context=1.905448 sequence=209.545002
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N3805 type=control0 q_typed_residual_context=1.962567 sequence=211.507570
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N3742 type=control0 q_typed_residual_context=2.061702 sequence=213.569272
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N722 type=observe q_typed_residual_context=2.502747 sequence=216.072019
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N4585 type=control0 q_typed_residual_context=3.723558 sequence=219.795578
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N4578 type=control0 q_typed_residual_context=4.104973 sequence=223.900551
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N4606 type=control0 q_typed_residual_context=4.047389 sequence=227.947939
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N7854 type=control0 q_typed_residual_context=3.702099 sequence=231.650038
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N4564 type=control0 q_typed_residual_context=3.163764 sequence=234.813802
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N1539 type=control0 q_typed_residual_context=3.523834 sequence=238.337636
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N4557 type=control0 q_typed_residual_context=3.815238 sequence=242.152874
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_residual_context=3.529428 sequence=245.682302
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N2350 type=control0 q_typed_residual_context=4.353637 sequence=250.035940
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N7722 type=control0 q_typed_residual_context=6.368560 sequence=256.404500
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N519 type=control1 q_typed_residual_context=3.935702 sequence=260.340202
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N3903 type=control0 q_typed_residual_context=2.751012 sequence=263.091214
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N2040 type=observe q_typed_residual_context=2.912379 sequence=266.003593
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N4520 type=control0 q_typed_residual_context=3.961479 sequence=269.965072
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N7723 type=control0 q_typed_residual_context=2.854071 sequence=272.819143
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N504 type=control1 q_typed_residual_context=3.004019 sequence=275.823161
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N7725 type=control0 q_typed_residual_context=4.093558 sequence=279.916719
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N520 type=control1 q_typed_residual_context=3.068320 sequence=282.985040
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N516 type=control1 q_typed_residual_context=2.955331 sequence=285.940371
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N513 type=control1 q_typed_residual_context=3.707866 sequence=289.648237
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N7370 type=control1 q_typed_residual_context=3.418482 sequence=293.066719
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N7890 type=control1 q_typed_residual_context=3.156252 sequence=296.222972
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N3896 type=control0 q_typed_residual_context=3.547026 sequence=299.769998
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7888 type=control1 q_typed_residual_context=3.239648 sequence=303.009646
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7889 type=control1 q_typed_residual_context=5.905387 sequence=308.915033
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_residual_context=7.295126 sequence=316.210160
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N3840 type=control0 q_typed_residual_context=4.374193 sequence=320.584352
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7847 type=control0 q_typed_residual_context=5.414300 sequence=325.998653
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7543 type=control0 q_typed_residual_context=6.749006 sequence=332.747659
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N7408 type=control0 q_typed_residual_context=5.596654 sequence=338.344312
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N7853 type=control0 q_typed_residual_context=4.903377 sequence=343.247689
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N7541 type=control0 q_typed_residual_context=6.829569 sequence=350.077258
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N7887 type=control1 q_typed_residual_context=6.200150 sequence=356.277408
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N7852 type=control0 q_typed_residual_context=6.523510 sequence=362.800918
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N7820 type=control0 q_typed_residual_context=6.959138 sequence=369.760056
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N2083 type=observe q_typed_residual_context=4.059168 sequence=373.819224
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N7721 type=control0 q_typed_residual_context=1.602228 sequence=375.421452
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N556 type=control1 q_typed_residual_context=1.229096 sequence=376.650548
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N2580 type=control1 q_typed_residual_context=2.121797 sequence=378.772345
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N634 type=control1 q_typed_residual_context=1.717223 sequence=380.489568
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N510 type=control1 q_typed_residual_context=1.706365 sequence=382.195933
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N3681 type=control0 q_typed_residual_context=1.723030 sequence=383.918963
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N614 type=control1 q_typed_residual_context=3.298547 sequence=387.217510
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N620 type=control1 q_typed_residual_context=1.289220 sequence=388.506730
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N610 type=control1 q_typed_residual_context=1.189493 sequence=389.696222
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N555 type=control1 q_typed_residual_context=1.348660 sequence=391.044882
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N638 type=control1 q_typed_residual_context=1.121054 sequence=392.165936
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N5876 type=observe q_typed_residual_context=0.868170 sequence=393.034106
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N694 type=observe q_typed_residual_context=4.358516 sequence=397.392622
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N7627 type=observe q_typed_residual_context=1.330582 sequence=398.723204
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N7401 type=observe q_typed_residual_context=1.465013 sequence=400.188217
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N7413 type=control1 q_typed_residual_context=1.833820 sequence=402.022037
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N7421 type=control1 q_typed_residual_context=1.074268 sequence=403.096305
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2102 type=observe q_typed_residual_context=1.590308 sequence=404.686613
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N3410 type=control1 q_typed_residual_context=1.452851 sequence=406.139465
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N7679 type=observe q_typed_residual_context=2.007384 sequence=408.146848
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=132 node=N645 type=control1 q_typed_residual_context=3.175225 sequence=411.322073
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=133 node=N616 type=control1 q_typed_residual_context=1.440620 sequence=412.762693
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_residual_context=1.645040 sequence=414.407732
