[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_toplist_sa/epoch_012/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 budgets=iscas99__b15_1:278
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.269820 sequence=22.400964
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.603809 sequence=24.004773
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.253452 sequence=27.258226
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.153850 sequence=30.412076
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.795321 sequence=33.207397
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_residual_context=1.825575 sequence=35.032972
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=4.930604 sequence=39.963576
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N2082 type=observe q_typed_residual_context=5.805206 sequence=45.768782
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.329204 sequence=52.097986
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.320483 sequence=57.418469
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.640414 sequence=62.058883
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=5.670801 sequence=67.729684
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_residual_context=6.951824 sequence=74.681508
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=4.745963 sequence=79.427471
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.267907 sequence=85.695378
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.143485 sequence=92.838863
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=8.047204 sequence=100.886067
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=2.964326 sequence=103.850393
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=3.224346 sequence=107.074739
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=3.403675 sequence=110.478415
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.352141 sequence=118.830556
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=3.421245 sequence=122.251801
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=5.721115 sequence=127.972916
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.835152 sequence=132.808068
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=5.728253 sequence=138.536321
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_residual_context=6.541497 sequence=145.077818
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=8.341551 sequence=153.419369
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3903 type=control0 q_typed_residual_context=0.338754 sequence=153.758123
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_residual_context=0.990744 sequence=154.748867
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=4.225621 sequence=158.974488
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=6.729023 sequence=165.703512
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=1.718236 sequence=167.421747
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N7883 type=control1 q_typed_residual_context=4.692887 sequence=172.114634
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3896 type=control0 q_typed_residual_context=0.845099 sequence=172.959733
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4663 type=control0 q_typed_residual_context=1.113752 sequence=174.073485
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N4606 type=control0 q_typed_residual_context=0.866966 sequence=174.940451
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N3889 type=control0 q_typed_residual_context=0.879669 sequence=175.820120
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=0.932081 sequence=176.752201
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N3882 type=control0 q_typed_residual_context=0.893869 sequence=177.646071
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N3805 type=control0 q_typed_residual_context=0.888123 sequence=178.534193
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_residual_context=0.954222 sequence=179.488415
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.118509 sequence=180.606924
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N713 type=observe q_typed_residual_context=1.755044 sequence=182.361968
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=1.325234 sequence=183.687202
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4684 type=control0 q_typed_residual_context=1.220837 sequence=184.908039
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N704 type=observe q_typed_residual_context=1.139197 sequence=186.047236
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.315532 sequence=187.362768
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.102265 sequence=188.465033
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3862 type=control0 q_typed_residual_context=1.097337 sequence=189.562369
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.010709 sequence=190.573078
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4578 type=control0 q_typed_residual_context=1.160459 sequence=191.733538
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.069521 sequence=192.803059
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.017883 sequence=193.820942
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4705 type=control0 q_typed_residual_context=1.099883 sequence=194.920825
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4670 type=control0 q_typed_residual_context=1.213563 sequence=196.134388
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_residual_context=1.230270 sequence=197.364658
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_residual_context=1.015345 sequence=198.380003
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N4564 type=control0 q_typed_residual_context=0.898725 sequence=199.278728
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N5603 type=control0 q_typed_residual_context=1.253761 sequence=200.532488
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N722 type=observe q_typed_residual_context=2.625292 sequence=203.157780
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N2040 type=observe q_typed_residual_context=1.260745 sequence=204.418525
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N4557 type=control0 q_typed_residual_context=1.580977 sequence=205.999503
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N2083 type=observe q_typed_residual_context=2.002068 sequence=208.001571
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=1.968485 sequence=209.970056
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N3722 type=control0 q_typed_residual_context=1.998358 sequence=211.968414
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7854 type=control0 q_typed_residual_context=2.908221 sequence=214.876635
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N578 type=observe q_typed_residual_context=2.879336 sequence=217.755971
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N3855 type=control0 q_typed_residual_context=2.261017 sequence=220.016988
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N3897 type=control0 q_typed_residual_context=1.224294 sequence=221.241282
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7543 type=control0 q_typed_residual_context=1.187517 sequence=222.428799
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N519 type=control1 q_typed_residual_context=1.405575 sequence=223.834374
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N7722 type=control0 q_typed_residual_context=1.410703 sequence=225.245077
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_residual_context=1.240813 sequence=226.485891
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N504 type=control1 q_typed_residual_context=2.515093 sequence=229.000983
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N7886 type=control1 q_typed_residual_context=0.656391 sequence=229.657375
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7887 type=control1 q_typed_residual_context=1.074270 sequence=230.731645
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=87 node=N7888 type=control1 q_typed_residual_context=1.154041 sequence=231.885686
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=88 node=N7889 type=control1 q_typed_residual_context=1.139303 sequence=233.024989
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=89 node=N7890 type=control1 q_typed_residual_context=1.405240 sequence=234.430229
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=90 node=N7884 type=control1 q_typed_residual_context=1.140873 sequence=235.571102
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=91 node=N516 type=control1 q_typed_residual_context=1.048173 sequence=236.619275
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=92 node=N7721 type=control0 q_typed_residual_context=2.645070 sequence=239.264344
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=93 node=N1411 type=control0 q_typed_residual_context=2.382333 sequence=241.646677
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=94 node=N3840 type=control0 q_typed_residual_context=1.471240 sequence=243.117917
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=95 node=N7820 type=control0 q_typed_residual_context=4.404903 sequence=247.522820
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=96 node=N4520 type=control0 q_typed_residual_context=2.239522 sequence=249.762342
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=97 node=N3904 type=control0 q_typed_residual_context=2.951605 sequence=252.713947
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_residual_context=2.339678 sequence=255.053626
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=99 node=N7870 type=control1 q_typed_residual_context=1.931094 sequence=256.984719
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=100 node=N7725 type=control0 q_typed_residual_context=2.616985 sequence=259.601705
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=101 node=N3848 type=control0 q_typed_residual_context=3.643896 sequence=263.245601
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=102 node=N7541 type=control0 q_typed_residual_context=4.205796 sequence=267.451397
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=103 node=N7588 type=control1 q_typed_residual_context=4.592025 sequence=272.043421
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=104 node=N7408 type=control0 q_typed_residual_context=4.519426 sequence=276.562847
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=105 node=N3827 type=control0 q_typed_residual_context=4.982382 sequence=281.545229
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=106 node=N3820 type=control0 q_typed_residual_context=2.631436 sequence=284.176665
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=107 node=N634 type=control1 q_typed_residual_context=2.866674 sequence=287.043339
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=108 node=N3813 type=control0 q_typed_residual_context=2.955033 sequence=289.998372
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=109 node=N614 type=control1 q_typed_residual_context=2.923580 sequence=292.921952
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=110 node=N3799 type=control0 q_typed_residual_context=3.064899 sequence=295.986851
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=111 node=N3792 type=control0 q_typed_residual_context=2.179477 sequence=298.166328
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=112 node=N694 type=observe q_typed_residual_context=6.548816 sequence=304.715144
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=113 node=N7853 type=control0 q_typed_residual_context=4.186574 sequence=308.901718
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=114 node=N7852 type=control0 q_typed_residual_context=3.156175 sequence=312.057893
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=115 node=N7846 type=control0 q_typed_residual_context=6.180617 sequence=318.238510
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=116 node=N7847 type=control0 q_typed_residual_context=5.348992 sequence=323.587503
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=117 node=N7454 type=observe q_typed_residual_context=2.800966 sequence=326.388469
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=118 node=N1533 type=control1 q_typed_residual_context=2.411374 sequence=328.799843
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=119 node=N3785 type=control0 q_typed_residual_context=2.800728 sequence=331.600571
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=120 node=N3701 type=control0 q_typed_residual_context=3.329811 sequence=334.930382
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=121 node=N3681 type=control0 q_typed_residual_context=2.962754 sequence=337.893136
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=122 node=N7401 type=observe q_typed_residual_context=2.431019 sequence=340.324155
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=123 node=N2102 type=observe q_typed_residual_context=3.132200 sequence=343.456355
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=124 node=N513 type=control1 q_typed_residual_context=1.439824 sequence=344.896179
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=125 node=N5878 type=observe q_typed_residual_context=1.482363 sequence=346.378542
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=126 node=N556 type=control1 q_typed_residual_context=2.568638 sequence=348.947180
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_residual_context=2.707609 sequence=351.654789
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=128 node=N555 type=control1 q_typed_residual_context=1.891409 sequence=353.546198
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=129 node=N2157 type=observe q_typed_residual_context=5.757796 sequence=359.303994
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=130 node=N638 type=control1 q_typed_residual_context=2.079241 sequence=361.383234
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=131 node=N620 type=control1 q_typed_residual_context=1.728508 sequence=363.111742
