step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy
11,N7543,observe,0.38722318410873413,-2.642434654943645,0.38722318410873413,0.19923102855682373,0.5613813521340489,0.001992310285568237,-0.11308202147483826,0.8949453830718994,0.19923102855682373,1.0884821714647115,-0.009341882541775703,-0.053859446197748184,-0.04366873949766159,30994.12109375,13346.337890625,17647.783203125,30983.861328125,13396.361328125,17587.5,0.0003310229512862861,-0.0037481021136045456,0.0034159079659730196,0.03310229512862861,0.1599881574511528,1.401184715554118,-0.6606441512703896,1.8607472198456527,0.19923102855682373,2.4088192880153656,0.3978143185377121,0.3978143185377121,cumulative,beam,0.19923102855682373,0.0,hard_fault_cluster
12,N7438,observe,0.3836168348789215,-0.059099837541580325,0.3836168348789215,0.19858328998088837,3.8064245998859407,0.0019858328998088835,-0.11490587145090103,0.9031832218170166,0.19858328998088837,3.423930842876434,-0.009687280282378197,-0.05614237114787102,-0.0450548380613327,30983.484375,13396.2138671875,17587.26953125,30837.615234375,13350.6484375,17486.966796875,0.004707964602857828,0.0034013662952929735,0.0057031442411243916,0.4707964602857828,0.1330384835600853,2.455944398641586,-0.6932864002883434,2.616823080778122,0.19858328998088837,2.607402577996254,0.3949962705373764,0.3949962705373764,cumulative,beam,0.19858328998088837,0.0,hard_fault_cluster
13,N6730,control1,0.37863630056381226,-0.45878056973218917,0.37863630056381226,0.19641298055648804,2.5393564492464065,0.00196412980556488,-0.11677510291337967,0.9070172309875488,0.19641298055648804,3.354791439473629,-0.010010198689997196,-0.05846515670418739,-0.04656596481800079,30838.00390625,13350.6181640625,17487.38671875,30811.4609375,13373.17578125,17438.28515625,0.0008607226773165166,-0.0016896309098228812,0.0028078274335712194,0.08607226773165166,0.10241034254431725,1.510050976872444,-0.7251623161137104,1.5023389822244642,0.19641298055648804,2.803815558552742,0.391057088971138,0.391057088971138,cumulative,beam,0.19641298055648804,0.0,hard_fault_cluster
14,N7868,control1,0.37487512826919556,1.1819481819868087,0.37487512826919556,0.1927070915699005,1.5353526443243026,0.001927070915699005,-0.11794811487197876,0.910865068435669,0.1927070915699005,1.7992650401592256,-0.010402720421552658,-0.061066415160894394,-0.048149026930332184,30811.3203125,13372.7021484375,17438.6171875,30778.974609375,13393.732421875,17385.2421875,0.0010497992625460029,-0.0015726271085441113,0.003060735762119293,0.10497992625460029,0.06330011785030365,1.368846357166767,-0.7643790021538734,1.051797390282154,0.1927070915699005,2.9965226501226425,0.3897177577018738,0.3897177577018738,cumulative,beam,0.1927070915699005,0.0,hard_fault_cluster
15,N8044,observe,0.37121716141700745,-4.255892178416252,0.37121716141700745,0.19701066613197327,5.372561535239219,0.0019701066613197326,-0.12132121622562408,0.9187312126159668,0.19701066613197327,5.588643119037151,-0.010553961619734764,-0.061897117644548416,-0.04856301099061966,30779.689453125,13394.416015625,17385.2734375,30620.06640625,13327.2421875,17292.82421875,0.005185986403375864,0.005015062168240547,0.005317674018442631,0.5185986403375864,0.060345716774463654,2.5358081209659575,-0.7764606922864914,1.489328073263168,0.19701066613197327,3.193533316254616,0.38525745272636414,0.38525745272636414,cumulative,beam,0.19701066613197327,0.0,hard_fault_cluster
16,N8476,observe,0.37654659152030945,0.7762748503684995,0.37654659152030945,0.18824678659439087,5.791716122627258,0.0018824678659439087,-0.12671954929828644,0.9332175850868225,0.18824678659439087,5.519839726686477,-0.011198232881724834,-0.06423348188400269,-0.04895326495170593,30619.240234375,13327.208984375,17292.03125,30494.88671875,13282.271484375,17212.615234375,0.004061286803334951,0.003371861297637224,0.004592636600136757,0.40612868033349514,0.0016410835087299347,3.1190510392189026,-0.8394571952521801,1.9367924124002456,0.18824678659439087,3.3817801028490067,0.3764214813709259,0.3764214813709259,cumulative,beam,0.18824678659439087,0.0,hard_fault_cluster
17,N6941,observe,0.3733557164669037,1.0515012317895887,0.3733557164669037,0.18817469477653503,4.605155521631241,0.0018817469477653503,-0.12896212935447693,0.9396090507507324,0.18817469477653503,4.397023456692696,-0.011454910039901733,-0.06577905267477036,-0.04981091618537903,30494.5,13281.8388671875,17212.662109375,30393.82421875,13254.17578125,17139.6484375,0.0033014407381415367,0.0020827753469347954,0.004241858143359423,0.33014407381415367,-0.017707258462905884,2.856706303358078,-0.8635450676083565,1.7407446935772897,0.18817469477653503,3.5699547976255417,0.38751792907714844,0.38751792907714844,cumulative,beam,0.18817469477653503,0.0,hard_fault_cluster
18,N6953,observe,0.3701929748058319,0.6370031523704527,0.3701929748058319,0.18791937828063965,4.121153067052364,0.0018791937828063964,-0.13084489107131958,0.945182740688324,0.18791937828063965,3.894653341025114,-0.01170380413532257,-0.06727872788906097,-0.0506436750292778,30393.759765625,13254.142578125,17139.6171875,30297.12109375,13230.0634765625,17067.056640625,0.003179556457325816,0.0018167226808145642,0.004233498591929674,0.3179556457325816,-0.03727829456329346,2.709900997877121,-0.8871048837900162,1.6047019949555397,0.18791937828063965,3.7578741759061813,0.4075891971588135,0.4075891971588135,cumulative,beam,0.18791937828063965,0.0,hard_fault_cluster
19,N6686,observe,0.3626915514469147,-4.018429145812989,0.3626915514469147,0.21966981887817383,5.746223258972168,0.0021966981887817385,-0.14215441048145294,0.9524967670440674,0.21966981887817383,5.681600933074951,-0.011433140374720097,-0.06325280666351318,-0.047002486884593964,30298.10546875,13230.44921875,17067.65625,29956.130859375,13021.615234375,16934.515625,0.011286996304988861,0.01578434556722641,0.007800756022334099,1.128699630498886,0.028852548450231552,5.710815505981445,-0.8502723909914494,2.999319128990173,0.21966981887817383,3.977543994784355,0.4221130907535553,0.4221130907535553,cumulative,beam,0.21966981887817383,0.0,hard_fault_cluster
20,N5613,control1,0.3620084524154663,-0.29686611354351056,0.3620084524154663,0.20244327187538147,4.785727736353874,0.0020244327187538148,-0.13795992732048035,0.948767900466919,0.20244327187538147,5.96502827256918,-0.01194735337048769,-0.06745839864015579,-0.049987658858299255,29992.63671875,13029.2890625,16963.34765625,30179.421875,13176.09765625,17003.32421875,-0.0062277005054056644,-0.011267582885921001,-0.002356643555685878,-0.6227700505405664,-0.04352416470646858,1.9738206574320791,-0.9069325439631939,1.5815212437510489,0.20244327187538147,4.179987266659737,0.3957346975803375,0.3957346975803375,cumulative,beam,0.20244327187538147,0.0,hard_fault_cluster
21,N2336,control1,0.36304575204849243,-0.6885525472462177,0.36304575204849243,0.19280210137367249,2.3690403744578363,0.001928021013736725,-0.1364908069372177,0.9486136436462402,0.19280210137367249,2.9095872965455056,-0.012361655943095684,-0.07029382884502411,-0.05176115781068802,30162.720703125,13172.017578125,16990.703125,30221.185546875,13244.9765625,16976.208984375,-0.0019383146427571774,-0.005538937635719776,0.0008530630148015916,-0.19383146427571774,-0.09474984928965569,1.4216616237163544,-0.9508116580545902,0.9014990332722664,0.19280210137367249,4.372789368033409,0.3802550435066223,0.3802550435066223,cumulative,beam,0.19280210137367249,0.0,hard_fault_cluster
22,N7544,observe,0.36280643939971924,-1.4678932002186773,0.36280643939971924,0.18745294213294983,3.004236823320389,0.0018745294213294982,-0.13685007393360138,0.9484368562698364,0.18745294213294983,3.972453720271587,-0.012525699101388454,-0.07158930599689484,-0.05266071856021881,30200.86328125,13241.8427734375,16959.021484375,30203.146484375,13281.107421875,16922.0390625,-7.5600590207614e-05,-0.0029651951044797897,0.002180693205446005,-0.0075600590207614005,-0.11668011173605919,2.0152430546283724,-0.9685974605381489,1.4040386450290678,0.18745294213294983,4.560242310166359,0.36806024610996246,0.36806024610996246,cumulative,beam,0.18745294213294983,0.0,hard_fault_cluster
23,N564,control1,0.363278329372406,-0.7773832109570503,0.363278329372406,0.18060730397701263,2.081218909472227,0.0018060730397701263,-0.13539543747901917,0.9502700567245483,0.18060730397701263,2.407289797738194,-0.012890396639704704,-0.07392284274101257,-0.05403638631105423,30206.521484375,13280.8984375,16925.623046875,30202.400390625,13313.15625,16889.244140625,0.0001364305935567245,-0.002428887877613306,0.002149339299649,0.013643059355672449,-0.15816230326890945,0.9064392134547232,-1.0063203237950802,0.5501458767801523,0.18060730397701263,4.740849614143372,0.35668762028217316,0.35668762028217316,cumulative,beam,0.18060730397701263,0.0,hard_fault_cluster
24,N632,control1,0.36315980553627014,-0.505714798718691,0.36315980553627014,0.17608031630516052,1.1223945930600168,0.0017608031630516052,-0.13460247218608856,0.9527715444564819,0.17608031630516052,1.2242520478367804,-0.01314600184559822,-0.07565518468618393,-0.05511115491390228,30204.716796875,13313.048828125,16891.66796875,30189.859375,13333.0439453125,16856.81640625,0.000491890765260905,-0.0015019187703728676,0.002063239924609661,0.0491890765260905,-0.18574832379817963,0.7706206053495407,-1.0323872193694115,0.441399136185646,0.17608031630516052,4.916929930448532,0.3515978008508682,0.3515978008508682,cumulative,beam,0.17608031630516052,0.0,hard_fault_cluster
25,N7866,control1,0.36239349842071533,-1.2698431020975112,0.36239349842071533,0.1755174845457077,3.517619568109512,0.001755174845457077,-0.13556374609470367,0.9538468718528748,0.1755174845457077,4.393163067102432,-0.013240202330052853,-0.07623396068811417,-0.05543910712003708,30184.126953125,13332.857421875,16851.26953125,30157.794921875,13337.822265625,16819.97265625,0.0008723801001906395,-0.00037237658398225904,0.0018572413828223944,0.08723801001906395,-0.1946558766067028,1.8662691950798034,-1.0416791439056396,1.1988191574811935,0.1755174845457077,5.09244741499424,0.3464851528406143,0.3464851528406143,cumulative,beam,0.1755174845457077,0.0,hard_fault_cluster
26,N640,control1,0.3622162342071533,-4.080534796454012,0.3622162342071533,0.17096766829490662,0.4429824646562338,0.0017096766829490663,-0.1347540318965912,0.9557020664215088,0.17096766829490662,0.6794356391578915,-0.013496425934135914,-0.07788504660129547,-0.05641888082027435,30162.853515625,13337.83984375,16825.013671875,30144.890625,13356.4609375,16788.4296875,0.0005955302040092647,-0.0013961101649329066,0.002174380701035261,0.05955302040092647,-0.22297285869717598,0.35127016037702563,-1.0679751597344875,-0.09737996429204943,0.17096766829490662,5.263415083289146,0.3389677554368973,0.3389677554368973,cumulative,beam,0.17096766829490662,0.0,hard_fault_cluster
27,N872,control1,0.3618319630622864,-3.2627958547323943,0.3618319630622864,0.16800008714199066,0.9778707765042782,0.0016800008714199066,-0.1344064325094223,0.9574753046035767,0.16800008714199066,1.2378774133324624,-0.01368441991508007,-0.07908688485622406,-0.057126812636852264,30140.611328125,13356.736328125,16783.875,30121.7578125,13370.6591796875,16751.099609375,0.0006255186744965613,-0.001042384305037558,0.0019527904223650694,0.06255186744965613,-0.24296659976243973,0.5791515731811523,-1.0870731435716152,0.10156615316867822,0.16800008714199066,5.431415170431137,0.33632443845272064,0.33632443845272064,cumulative,beam,0.16800008714199066,0.0,hard_fault_cluster
28,N3124,control1,0.3605826497077942,-3.142068188637495,0.3605826497077942,0.16832435131072998,1.9153387740254408,0.0016832435131072998,-0.13508178293704987,0.9580295085906982,0.16832435131072998,2.58946160286665,-0.01374765858054161,-0.0793861448764801,-0.057244978845119476,30124.380859375,13371.58203125,16752.798828125,30107.693359375,13376.60546875,16731.087890625,0.0005539532867260277,-0.0003756801306735724,0.0012959588784724474,0.05539532867260277,-0.24841199815273285,1.0567980778217314,-1.093177393078804,0.4915345978736877,0.16832435131072998,5.599739521741867,0.3328912854194641,0.3328912854194641,cumulative,beam,0.16832435131072998,0.0,hard_fault_cluster
29,N7525,observe,0.36031341552734375,-1.4345797178149222,0.36031341552734375,0.16449567675590515,1.0176434338092806,0.0016449567675590514,-0.13486996293067932,0.9583708047866821,0.16449567675590515,1.5508803293108941,-0.013862569816410542,-0.08022397756576538,-0.05779559910297394,30104.03515625,13375.771484375,16728.263671875,30096.955078125,13401.296875,16695.658203125,0.00023518702073488384,-0.0019083303632214665,0.0019491245038807392,0.023518702073488384,-0.2633905000984669,0.8967227268218995,-1.1055403612554073,0.5005571562051774,0.16449567675590515,5.764235198497772,0.3322427272796631,0.3322427272796631,cumulative,beam,0.16449567675590515,0.0,hard_fault_cluster
30,N7924,observe,0.3586771786212921,-0.18260036349296604,0.3586771786212921,0.16774705052375793,6.050547766685486,0.0016774705052375793,-0.1359459012746811,0.9618442058563232,0.16774705052375793,5.8863126504421235,-0.013892486691474915,-0.080083929002285,-0.057529836893081665,30097.8046875,13401.533203125,16696.271484375,29971.544921875,13342.669921875,16628.875,0.004194982349872589,0.004392279777675867,0.004036618862301111,0.4194982349872589,-0.2596574127674103,1.8512578308582306,-1.1068508550524712,1.4328306019306183,0.16774705052375793,5.93198224902153,0.33136290311813354,0.33136290311813354,cumulative,beam,0.16774705052375793,0.0,hard_fault_cluster
31,N6572,observe,0.3583928048610687,-0.21153911828994737,0.3583928048610687,0.1636158525943756,4.112516485154629,0.0016361585259437562,-0.13516168296337128,0.9617512226104736,0.1636158525943756,6.1012648366391655,-0.013983504846692085,-0.08094107359647751,-0.05818699300289154,29970.8671875,13342.0966796875,16628.76953125,30002.4609375,13383.1875,16619.2734375,-0.001054148655384779,-0.0030797873623669147,0.0005710641271434724,-0.1054148655384779,-0.2729834094643593,1.3358127880096435,-1.1170087158679962,1.1959819602966308,0.1636158525943756,6.095598101615906,0.324259489774704,0.324259489774704,cumulative,beam,0.1636158525943756,0.0,hard_fault_cluster
32,N6804,observe,0.35664644837379456,-0.11911151826381666,0.35664644837379456,0.16064363718032837,4.112145706266165,0.0016064363718032836,-0.1340363770723343,0.9614731073379517,0.16064363718032837,6.100931135639548,-0.014079496264457703,-0.08161204308271408,-0.058613911271095276,30002.6953125,13383.5,16619.1953125,30014.65234375,13413.57421875,16601.078125,-0.00039853190537542105,-0.002247111639007926,0.0010901362402364612,-0.039853190537542105,-0.28583288192749023,1.3305836257338521,-1.1274204403162003,1.1939756807684896,0.16064363718032837,6.256241738796234,0.31877779960632324,0.31877779960632324,cumulative,beam,0.16064363718032837,0.0,hard_fault_cluster
33,N614,control1,0.35579898953437805,0.17621502093970765,0.35579898953437805,0.15813416242599487,4.4364603970199825,0.0015813416242599486,-0.1329762488603592,0.9621137380599976,0.15813416242599487,5.196643664129078,-0.014251998625695705,-0.08262019604444504,-0.05915539711713791,30018.8828125,13414.8046875,16604.078125,30033.07421875,13434.7041015625,16598.369140625,-0.00047274932148866355,-0.0014833919703960419,0.0003438302665017545,-0.047274932148866355,-0.3049519620835781,0.93179173681885,-1.1451378874480724,0.7959704837575554,0.15813416242599487,6.414375901222229,0.3186110854148865,0.3186110854148865,cumulative,beam,0.15813416242599487,0.0,hard_fault_cluster
34,N3180,control1,0.3563064932823181,-0.19118681758642198,0.3563064932823181,0.1604769229888916,4.3780700579285625,0.001604769229888916,-0.13410547375679016,0.9622880220413208,0.1604769229888916,6.041874230057001,-0.01424496341496706,-0.08238320052623749,-0.0589095801115036,30031.591796875,13434.23828125,16597.353515625,30047.125,13443.3720703125,16603.75390625,-0.000517228792887181,-0.0006798888789489865,-0.00038562717963941395,-0.051722879288718104,-0.3017313964664936,1.4029136569797993,-1.143805105239153,1.2508523733913899,0.1604769229888916,6.574852824211121,0.3215278387069702,0.3215278387069702,cumulative,beam,0.1604769229888916,0.0,hard_fault_cluster
35,N3352,control1,0.3569801151752472,-3.025034390091896,0.3569801151752472,0.1610509157180786,4.336870694160462,0.0016105091571807862,-0.13471055030822754,0.9622365236282349,0.1610509157180786,5.740404852032661,-0.014290032908320427,-0.08247508853673935,-0.05885515362024307,30047.119140625,13443.396484375,16603.72265625,30068.85546875,13459.224609375,16609.630859375,-0.0007234080694615841,-0.0011773903388530016,-0.0003558360622264445,-0.07234080694615841,-0.3057158514857292,3.3000837683677675,-1.1481814309954643,3.1848910450935364,0.1610509157180786,6.735903739929199,0.31837141513824463,0.31837141513824463,cumulative,beam,0.1610509157180786,0.0,hard_fault_cluster
36,N610,control1,0.35747361183166504,-1.2301087956130505,0.35747361183166504,0.15732049942016602,5.044878642261028,0.0015732049942016602,-0.13299420475959778,0.9631311893463135,0.15732049942016602,5.88915848493576,-0.014467805624008179,-0.0835743397474289,-0.05948206037282944,30070.162109375,13459.654296875,16610.5078125,30093.78125,13486.947265625,16606.833984375,-0.0007854676805436611,-0.002027761423960328,0.00022117493790574372,-0.07854676805436611,-0.3263288736343384,2.4806103849411008,-1.166667640209198,2.387382378578186,0.15732049942016602,6.893224239349365,0.31258925795555115,0.31258925795555115,cumulative,beam,0.15732049942016602,0.0,hard_fault_cluster
37,N620,control1,0.35692235827445984,-4.864414995014668,0.35692235827445984,0.15526875853538513,4.405092158913613,0.0015526875853538514,-0.13167764246463776,0.9642378091812134,0.15526875853538513,5.323635238409042,-0.014577970840036869,-0.08427921682596207,-0.05989757925271988,30094.064453125,13487.076171875,16606.98828125,30107.59765625,13506.53515625,16601.0625,-0.0004496967594604939,-0.0014427874702960253,0.000356824544724077,-0.04496967594604939,-0.3382905162870884,2.0004269170761106,-1.1779204420745373,1.9296895551681514,0.15526875853538513,7.04849299788475,0.3090943992137909,0.3090943992137909,cumulative,beam,0.15526875853538513,0.0,hard_fault_cluster
38,N638,control1,0.3570198714733124,-4.741565222814679,0.3570198714733124,0.15382564067840576,4.300931302458048,0.0015382564067840576,-0.13098646700382233,0.9652695655822754,0.15382564067840576,5.359019038975238,-0.014659367501735687,-0.08480338752269745,-0.06020844727754593,30107.435546875,13506.447265625,16600.98828125,30118.64453125,13523.09765625,16595.546875,-0.00037229954614304006,-0.001232773531228304,0.00032777604064904153,-0.037229954614304006,-0.3468415439128876,2.1033334815502163,-1.1861629486083984,2.0149574840068816,0.15382564067840576,7.202318638563156,0.3065059185028076,0.3065059185028076,cumulative,beam,0.15382564067840576,0.0,hard_fault_cluster
39,N634,control1,0.35710012912750244,-5.020107278823852,0.35710012912750244,0.15268027782440186,4.183148643374443,0.0015268027782440186,-0.13047011196613312,0.9660962820053101,0.15268027782440186,5.324915126860142,-0.014733413234353065,-0.08524887263774872,-0.06045541912317276,30118.33984375,13522.9921875,16595.34765625,30129.353515625,13538.265625,16591.087890625,-0.00036567990900948644,-0.0011294421274214983,0.0002566843177191913,-0.036567990900948644,-0.35456476360559464,2.082589052915573,-1.1936471834778786,2.0213190305233,0.15268027782440186,7.354998916387558,0.30856533348560333,0.30856533348560333,cumulative,beam,0.15268027782440186,0.0,hard_fault_cluster
40,N3410,control1,0.3574710786342621,-5.63760428071022,0.3574710786342621,0.15588505566120148,3.3265622556209573,0.0015588505566120148,-0.13211438059806824,0.9658114910125732,0.15588505566120148,5.393906030058861,-0.014675706624984741,-0.08464161306619644,-0.059965893626213074,30127.962890625,13537.921875,16590.041015625,30134.61328125,13539.9248046875,16594.6875,-0.00022073814761824906,-0.00014794956950936466,-0.0002800767251756042,-0.022073814761824906,-0.3458741158246994,3.0490036892890924,-1.1871465258300304,2.9619928288459776,0.15588505566120148,7.5108839720487595,0.3096097856760025,0.3096097856760025,cumulative,beam,0.15588505566120148,0.0,hard_fault_cluster
41,N645,control1,0.3585101366043091,-4.7234248323738575,0.3585101366043091,0.15372473001480103,4.701044835150243,0.0015372473001480102,-0.1308537870645523,0.9663599729537964,0.15372473001480103,5.578888265490532,-0.014822520315647125,-0.08535156399011612,-0.06025761365890503,30135.880859375,13540.244140625,16595.63671875,30154.15625,13561.5,16592.65625,-0.0006064329063519835,-0.00156982836779207,0.00017959350952878594,-0.060643290635198355,-0.3621673285961151,4.243627731800079,-1.2022308558225632,5.634732048511505,0.15372473001480103,7.6646087020635605,0.3068222403526306,0.3068222403526306,cumulative,beam,0.15372473001480103,0.0,hard_fault_cluster
42,N616,control1,0.35943180322647095,-4.727583341896533,0.35943180322647095,0.1530975103378296,4.693942034244538,0.001530975103378296,-0.13010278344154358,0.9671471118927002,0.1530975103378296,5.575750668346882,-0.014909312129020691,-0.08569352328777313,-0.06034127622842789,30154.30078125,13561.5966796875,16592.703125,30166.02734375,13576.71484375,16589.3125,-0.00038888523704372346,-0.0011147776385769248,0.0002043443382717669,-0.038888523704372346,-0.3706865906715393,4.688139008283615,-1.2108700573444366,5.632407902479172,0.1530975103378296,7.81770621240139,0.30586203932762146,0.30586203932762146,cumulative,beam,0.1530975103378296,0.0,hard_fault_cluster
