[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_dual_lr5e5/epoch_006/alpha_0p10_decay_64
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 budgets=iscas99__b15_1:278
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10/return_dual_lr5e5/e006] [gmean] 2026-07-21T17:11:15 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=2.024057 sequence=278.236082
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.272031 sequence=280.508113
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.671786 sequence=283.179899
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=159 node=N4529 type=observe q_typed_reliable_context=4.691798 sequence=287.871697
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=160 node=N2102 type=observe q_typed_reliable_context=1.746056 sequence=289.617753
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=161 node=N6531 type=observe q_typed_reliable_context=5.157921 sequence=294.775674
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=5.391046 sequence=300.166720
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=163 node=N714 type=observe q_typed_reliable_context=2.311780 sequence=302.478500
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=164 node=N7614 type=observe q_typed_reliable_context=2.556330 sequence=305.034829
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=165 node=N723 type=observe q_typed_reliable_context=2.699340 sequence=307.734169
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=166 node=N694 type=observe q_typed_reliable_context=3.525388 sequence=311.259557
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=167 node=N2106 type=observe q_typed_reliable_context=2.229237 sequence=313.488794
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=168 node=N5877 type=observe q_typed_reliable_context=2.915244 sequence=316.404039
[b15-r10/return_dual_lr5e5/e006] [plan iscas99__b15_1] [plan] step=169 node=N3525 type=control1 q_typed_reliable_context=1.654217 sequence=318.058256
