[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_within_lr2e4/epoch_008/alpha_0p10_decay_64
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 budgets=iscas99__b15_1:278
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10-strong/return_within_lr2e4/e008] [gmean] 2026-07-21T17:24:43 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.341511
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.041264
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.342847 sequence=41.384111
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.957472 sequence=43.341582
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.827739 sequence=45.169321
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.890079
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.808012 sequence=48.698091
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.807690 sequence=49.505781
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.843954 sequence=50.349735
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.986018 sequence=53.335753
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.660416
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.132530
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=32 node=N4677 type=control0 q_typed_reliable_context=2.807580 sequence=57.940110
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746178 sequence=58.686288
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978282 sequence=59.664571
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831737 sequence=61.496308
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134388 sequence=63.630695
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615209 sequence=65.245904
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712283 sequence=65.958188
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829747 sequence=66.787935
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600711 sequence=67.388646
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496964 sequence=67.885610
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458679 sequence=69.344289
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684428 sequence=73.028717
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.737982 sequence=78.766698
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062800 sequence=81.829498
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=46 node=N4670 type=control0 q_typed_reliable_context=1.937046 sequence=83.766544
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140059 sequence=84.906603
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.503085 sequence=86.409688
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295820 sequence=87.705508
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395248 sequence=89.100756
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943221 sequence=90.043977
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944644 sequence=90.988621
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.965689 sequence=91.954310
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916899 sequence=92.871208
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940919 sequence=93.812127
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953490 sequence=94.765617
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.723121
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.959693 sequence=96.682814
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_reliable_context=0.902134 sequence=97.584948
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004446 sequence=98.589393
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_reliable_context=1.114230 sequence=99.703623
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065796 sequence=100.769420
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725269 sequence=102.494689
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.393402
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917916 sequence=104.311318
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024032 sequence=105.335350
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.030266 sequence=106.365616
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967603 sequence=107.333219
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.851860 sequence=108.185079
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406622 sequence=109.591701
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.791228 sequence=110.382929
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245294 sequence=111.628222
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756680 sequence=112.384903
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391531 sequence=113.776434
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758505 sequence=114.534939
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557464 sequence=116.092403
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.770102 sequence=116.862505
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843899 sequence=117.706403
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272574 sequence=118.978977
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117102 sequence=120.096080
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813396 sequence=120.909476
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269411 sequence=122.178887
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752136 sequence=122.931022
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527500 sequence=124.458522
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320236 sequence=125.778759
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515689 sequence=127.294448
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689437 sequence=128.983885
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671011 sequence=130.654896
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992341 sequence=131.647237
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991926 sequence=132.639163
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112735 sequence=133.751898
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311996 sequence=135.063894
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=93 node=N3820 type=control0 q_typed_reliable_context=1.010713 sequence=136.074607
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=94 node=N3792 type=control0 q_typed_reliable_context=2.631734 sequence=138.706341
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386884 sequence=144.093226
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=96 node=N3785 type=control0 q_typed_reliable_context=1.424593 sequence=145.517819
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217602 sequence=146.735421
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466178 sequence=148.201600
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.526915 sequence=149.728515
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386272 sequence=151.114787
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331833 sequence=152.446619
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462426 sequence=153.909045
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321325 sequence=155.230370
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=104 node=N3827 type=control0 q_typed_reliable_context=1.783298 sequence=157.013668
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444223 sequence=158.457891
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=106 node=N3813 type=control0 q_typed_reliable_context=1.443698 sequence=159.901589
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350898 sequence=161.252487
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=108 node=N3799 type=control0 q_typed_reliable_context=1.323332 sequence=162.575819
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224002 sequence=163.799821
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716837 sequence=165.516658
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312575 sequence=166.829233
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.660021 sequence=168.489255
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336586 sequence=169.825841
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392733 sequence=172.218574
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972795 sequence=174.191369
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152257 sequence=176.343625
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926525 sequence=179.270150
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978785 sequence=182.248936
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026056 sequence=185.274991
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353152 sequence=187.628144
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391928 sequence=190.020071
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535705 sequence=192.555776
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362535 sequence=194.918311
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516271 sequence=196.434582
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650567 sequence=198.085149
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932166 sequence=200.017315
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.281067 sequence=201.298382
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544317 sequence=202.842699
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965573 sequence=204.808271
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771869 sequence=207.580140
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783704 sequence=211.363844
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.607409 sequence=215.971253
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088273 sequence=219.059527
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671881 sequence=220.731407
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528783 sequence=223.260190
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.320115 sequence=225.580304
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436173 sequence=227.016477
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004537 sequence=228.021014
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.547826 sequence=229.568839
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.637940 sequence=233.206780
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.789077 sequence=238.995856
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763966 sequence=244.759822
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120809 sequence=247.880632
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.679888 sequence=250.560519
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=145 node=N7679 type=observe q_typed_reliable_context=1.380879 sequence=251.941399
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_reliable_context=2.833948 sequence=254.775347
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.848133 sequence=255.623480
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333508 sequence=257.956988
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=149 node=N723 type=observe q_typed_reliable_context=2.701550 sequence=260.658538
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_reliable_context=2.862343 sequence=263.520882
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=151 node=N6948 type=observe q_typed_reliable_context=2.923592 sequence=266.444474
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=152 node=N3467 type=control1 q_typed_reliable_context=1.712994 sequence=268.157468
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=153 node=N4521 type=observe q_typed_reliable_context=4.153683 sequence=272.311151
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=154 node=N2580 type=control1 q_typed_reliable_context=1.735169 sequence=274.046319
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=2.214981 sequence=276.261300
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=2.024164 sequence=278.285464
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.272260 sequence=280.557724
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.671673 sequence=283.229397
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=159 node=N5617 type=observe q_typed_reliable_context=4.693280 sequence=287.922677
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=160 node=N2102 type=observe q_typed_reliable_context=1.783019 sequence=289.705696
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=161 node=N6531 type=observe q_typed_reliable_context=5.159958 sequence=294.865654
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=5.391954 sequence=300.257608
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=163 node=N714 type=observe q_typed_reliable_context=2.311145 sequence=302.568753
[b15-r10-strong/return_within_lr2e4/e008] [plan iscas99__b15_1] [plan] step=164 node=N7614 type=observe q_typed_reliable_context=2.556157 sequence=305.124910
