[b15-r10-strong/return_dual_lr2e4/e008] [gmean] 2026-07-21T17:32:42 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_dual_lr2e4/epoch_008/alpha_0p10_decay_64
[b15-r10-strong/return_dual_lr2e4/e008] [gmean] 2026-07-21T17:32:42 budgets=iscas99__b15_1:278
[b15-r10-strong/return_dual_lr2e4/e008] [gmean] 2026-07-21T17:32:42 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10-strong/return_dual_lr2e4/e008] [gmean] 2026-07-21T17:32:42 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.111317
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.509987
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.110363
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.946893 sequence=29.057256
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.802298
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.194873
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.193431
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.350127
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.049880
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.334054 sequence=41.383935
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.950047 sequence=43.333982
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.827739 sequence=45.161721
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.882478
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.807183 sequence=48.689661
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.821199 sequence=49.510861
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.852344 sequence=50.363205
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985626 sequence=53.348831
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.673494
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.145608
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807861 sequence=57.953470
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.699642
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.677930
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831795 sequence=61.509725
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.644121
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615212 sequence=65.259333
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.971618
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.801363
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.402134
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.899091
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.357894
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=73.042356
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738047 sequence=78.780404
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.843197
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.780207
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.920244
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=48 node=N4635 type=control0 q_typed_reliable_context=1.496891 sequence=86.417135
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=49 node=N8470 type=observe q_typed_reliable_context=1.668291 sequence=88.085426
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.264237 sequence=89.349663
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943601 sequence=90.293263
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.943710 sequence=91.236973
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.963167 sequence=92.200140
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.909096 sequence=93.109236
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.920716 sequence=94.029953
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.955531 sequence=94.985483
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.958335 sequence=95.943818
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.960147 sequence=96.903965
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_reliable_context=0.888876 sequence=97.792841
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=0.984898 sequence=98.777739
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_reliable_context=1.103732 sequence=99.881471
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.067653 sequence=100.949124
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.721855 sequence=102.670979
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.882182 sequence=103.553161
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=65 node=N4716 type=control0 q_typed_reliable_context=0.911531 sequence=104.464693
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=66 node=N4712 type=control0 q_typed_reliable_context=1.026725 sequence=105.491418
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=0.995117 sequence=106.486535
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.918835 sequence=107.405370
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.851800 sequence=108.257169
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.382291 sequence=109.639461
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.833925 sequence=110.473386
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.288930 sequence=111.762316
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.839141 sequence=112.601457
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.350414 sequence=113.951871
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.728653 sequence=114.680525
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.509892 sequence=116.190417
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.771001 sequence=116.961418
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.842004 sequence=117.803422
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.279905 sequence=119.083327
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.066197 sequence=120.149524
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.814378 sequence=120.963903
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.266814 sequence=122.230716
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.728044 sequence=122.958761
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.428153 sequence=124.386913
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.192745 sequence=125.579658
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=86 node=N7888 type=control1 q_typed_reliable_context=1.531822 sequence=127.111480
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=87 node=N7889 type=control1 q_typed_reliable_context=1.753120 sequence=128.864599
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=88 node=N7890 type=control1 q_typed_reliable_context=1.764867 sequence=130.629467
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=89 node=N556 type=control1 q_typed_reliable_context=0.872968 sequence=131.502435
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=90 node=N7887 type=control1 q_typed_reliable_context=0.824980 sequence=132.327415
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=91 node=N7885 type=control1 q_typed_reliable_context=0.885013 sequence=133.212428
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=92 node=N7886 type=control1 q_typed_reliable_context=1.099669 sequence=134.312097
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=93 node=N3792 type=control0 q_typed_reliable_context=0.781734 sequence=135.093831
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=94 node=N4520 type=control0 q_typed_reliable_context=2.066230 sequence=137.160061
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=4.479847 sequence=141.639908
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=96 node=N507 type=control1 q_typed_reliable_context=1.000771 sequence=142.640680
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=97 node=N3827 type=control0 q_typed_reliable_context=1.463732 sequence=144.104412
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=98 node=N3820 type=control0 q_typed_reliable_context=1.247521 sequence=145.351933
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=99 node=N7725 type=control0 q_typed_reliable_context=1.360688 sequence=146.712621
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=100 node=N7408 type=control0 q_typed_reliable_context=1.572561 sequence=148.285182
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=101 node=N7541 type=control0 q_typed_reliable_context=1.418804 sequence=149.703986
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=102 node=N7723 type=control0 q_typed_reliable_context=1.304277 sequence=151.008264
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=103 node=N634 type=control1 q_typed_reliable_context=1.260892 sequence=152.269155
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=104 node=N7846 type=control0 q_typed_reliable_context=1.635778 sequence=153.904933
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=105 node=N510 type=control1 q_typed_reliable_context=2.179887 sequence=156.084820
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=106 node=N614 type=control1 q_typed_reliable_context=1.065367 sequence=157.150187
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=107 node=N3682 type=control0 q_typed_reliable_context=1.375040 sequence=158.525227
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=108 node=N610 type=control1 q_typed_reliable_context=1.478289 sequence=160.003516
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=109 node=N3813 type=control0 q_typed_reliable_context=1.633103 sequence=161.636619
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=110 node=N620 type=control1 q_typed_reliable_context=1.658111 sequence=163.294730
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=111 node=N3799 type=control0 q_typed_reliable_context=1.938918 sequence=165.233648
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=112 node=N3785 type=control0 q_typed_reliable_context=1.728958 sequence=166.962606
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=113 node=N722 type=observe q_typed_reliable_context=2.567564 sequence=169.530170
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=114 node=N638 type=control1 q_typed_reliable_context=1.854452 sequence=171.384622
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.967081 sequence=173.351704
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=116 node=N4557 type=control0 q_typed_reliable_context=2.174878 sequence=175.526581
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=117 node=N7852 type=control0 q_typed_reliable_context=2.045003 sequence=177.571585
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=118 node=N7847 type=control0 q_typed_reliable_context=2.290679 sequence=179.862264
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=119 node=N3903 type=control0 q_typed_reliable_context=2.321148 sequence=182.183412
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=120 node=N7820 type=control0 q_typed_reliable_context=2.500970 sequence=184.684382
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=121 node=N3896 type=control0 q_typed_reliable_context=1.479213 sequence=186.163595
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=122 node=N7721 type=control0 q_typed_reliable_context=1.907212 sequence=188.070807
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=123 node=N7590 type=control1 q_typed_reliable_context=2.272477 sequence=190.343284
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=124 node=N7853 type=control0 q_typed_reliable_context=1.955198 sequence=192.298481
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=125 node=N7532 type=observe q_typed_reliable_context=1.625500 sequence=193.923982
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=126 node=N7537 type=observe q_typed_reliable_context=1.848489 sequence=195.772471
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=127 node=N7535 type=observe q_typed_reliable_context=2.232648 sequence=198.005119
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=128 node=N7534 type=observe q_typed_reliable_context=3.882538 sequence=201.887657
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=129 node=N645 type=control1 q_typed_reliable_context=5.526432 sequence=207.414089
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=130 node=N7518 type=observe q_typed_reliable_context=2.553195 sequence=209.967284
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=131 node=N2580 type=control1 q_typed_reliable_context=1.761633 sequence=211.728918
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=132 node=N785 type=observe q_typed_reliable_context=1.966805 sequence=213.695722
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=133 node=N7588 type=control1 q_typed_reliable_context=1.204689 sequence=214.900411
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=0.821896 sequence=215.722308
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=135 node=N616 type=control1 q_typed_reliable_context=1.730454 sequence=217.452762
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=136 node=N3295 type=control1 q_typed_reliable_context=1.090612 sequence=218.543374
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.120997 sequence=219.664371
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=138 node=N630 type=control1 q_typed_reliable_context=1.081049 sequence=220.745420
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=139 node=N3525 type=control1 q_typed_reliable_context=1.246069 sequence=221.991489
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=140 node=N642 type=control1 q_typed_reliable_context=2.106052 sequence=224.097541
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=141 node=N649 type=control1 q_typed_reliable_context=2.241717 sequence=226.339257
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=142 node=N1552 type=observe q_typed_reliable_context=1.678141 sequence=228.017398
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=143 node=N5867 type=observe q_typed_reliable_context=1.202898 sequence=229.220296
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=144 node=N694 type=observe q_typed_reliable_context=2.694594 sequence=231.914891
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=145 node=N647 type=control1 q_typed_reliable_context=2.918225 sequence=234.833116
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=146 node=N1586 type=control1 q_typed_reliable_context=5.942886 sequence=240.776001
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=147 node=N2040 type=observe q_typed_reliable_context=5.810502 sequence=246.586504
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=148 node=N7402 type=observe q_typed_reliable_context=2.910217 sequence=249.496720
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=149 node=N1607 type=control1 q_typed_reliable_context=1.630135 sequence=251.126855
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=150 node=N2102 type=observe q_typed_reliable_context=5.424307 sequence=256.551162
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=151 node=N7421 type=control1 q_typed_reliable_context=3.972771 sequence=260.523933
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=152 node=N3410 type=control1 q_typed_reliable_context=0.765590 sequence=261.289523
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=153 node=N3180 type=control1 q_typed_reliable_context=1.632478 sequence=262.922002
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=154 node=N2721 type=control1 q_typed_reliable_context=1.718883 sequence=264.640885
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=155 node=N7453 type=observe q_typed_reliable_context=1.717741 sequence=266.358626
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=156 node=N578 type=observe q_typed_reliable_context=1.608643 sequence=267.967268
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=157 node=N7627 type=observe q_typed_reliable_context=1.832802 sequence=269.800070
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=158 node=N2952 type=control1 q_typed_reliable_context=5.675961 sequence=275.476031
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=159 node=N7482 type=observe q_typed_reliable_context=1.888082 sequence=277.364113
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=160 node=N2157 type=observe q_typed_reliable_context=2.878969 sequence=280.243082
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=161 node=N7442 type=control0 q_typed_reliable_context=6.462786 sequence=286.705868
[b15-r10-strong/return_dual_lr2e4/e008] [plan iscas99__b15_1] [plan] step=162 node=N4521 type=observe q_typed_reliable_context=3.213044 sequence=289.918911
