[b15-r10-boundary/return_within_lr2e4/e007] [gmean] 2026-07-21T17:27:16 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_within_lr2e4/epoch_007/alpha_0p10_decay_64
[b15-r10-boundary/return_within_lr2e4/e007] [gmean] 2026-07-21T17:27:16 budgets=iscas99__b15_1:278
[b15-r10-boundary/return_within_lr2e4/e007] [gmean] 2026-07-21T17:27:16 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10-boundary/return_within_lr2e4/e007] [gmean] 2026-07-21T17:27:16 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.501897
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.102273
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.947136 sequence=29.049409
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.794452
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.187027
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.185585
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.342281
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.042034
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.341904 sequence=41.383938
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.954668 sequence=43.338606
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.827739 sequence=45.166345
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.887102
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.808314 sequence=48.695417
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.807282 sequence=49.502699
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.845802 sequence=50.348502
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.986015 sequence=53.334517
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.659180
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.131294
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=32 node=N4677 type=control0 q_typed_reliable_context=2.807601 sequence=57.938895
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746178 sequence=58.685073
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978282 sequence=59.663356
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=35 node=N4670 type=control0 q_typed_reliable_context=1.831713 sequence=61.495069
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134401 sequence=63.629470
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615211 sequence=65.244681
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712282 sequence=65.956963
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829881 sequence=66.786844
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600772 sequence=67.387616
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496965 sequence=67.884581
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458814 sequence=69.343395
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684615 sequence=73.028011
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.737793 sequence=78.765803
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062804 sequence=81.828608
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_reliable_context=1.937052 sequence=83.765659
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140052 sequence=84.905711
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.502371 sequence=86.408082
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.296360 sequence=87.704442
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395258 sequence=89.099701
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943220 sequence=90.042920
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944240 sequence=90.987160
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.965763 sequence=91.952922
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916703 sequence=92.869625
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940920 sequence=93.810545
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953490 sequence=94.764035
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957503 sequence=95.721538
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.959646 sequence=96.681183
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_reliable_context=0.902126 sequence=97.583310
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004444 sequence=98.587753
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_reliable_context=1.114230 sequence=99.701983
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065799 sequence=100.767781
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725277 sequence=102.493058
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.391771
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917916 sequence=104.309687
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024035 sequence=105.333722
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.029866 sequence=106.363588
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967601 sequence=107.331189
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.852345 sequence=108.183534
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406622 sequence=109.590156
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.791245 sequence=110.381401
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245294 sequence=111.626695
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756677 sequence=112.383372
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391524 sequence=113.774896
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758524 sequence=114.533419
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557465 sequence=116.090885
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.770169 sequence=116.861053
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843703 sequence=117.704757
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272576 sequence=118.977333
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117101 sequence=120.094433
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813393 sequence=120.907826
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269412 sequence=122.177239
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752135 sequence=122.929374
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527499 sequence=124.456873
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320236 sequence=125.777109
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515693 sequence=127.292802
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689439 sequence=128.982241
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671013 sequence=130.653254
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992343 sequence=131.645597
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991927 sequence=132.637524
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112735 sequence=133.750258
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311997 sequence=135.062255
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=93 node=N3820 type=control0 q_typed_reliable_context=1.010675 sequence=136.072930
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=94 node=N3792 type=control0 q_typed_reliable_context=2.631738 sequence=138.704668
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386883 sequence=144.091551
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=96 node=N3785 type=control0 q_typed_reliable_context=1.424578 sequence=145.516129
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217603 sequence=146.733732
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466179 sequence=148.199911
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.526915 sequence=149.726827
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386271 sequence=151.113098
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331833 sequence=152.444931
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462425 sequence=153.907355
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321325 sequence=155.228680
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=104 node=N3827 type=control0 q_typed_reliable_context=1.783299 sequence=157.011980
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444226 sequence=158.456206
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=106 node=N3813 type=control0 q_typed_reliable_context=1.443698 sequence=159.899904
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350896 sequence=161.250800
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=108 node=N3799 type=control0 q_typed_reliable_context=1.323333 sequence=162.574134
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224006 sequence=163.798140
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716837 sequence=165.514977
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312575 sequence=166.827553
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.660020 sequence=168.487573
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336586 sequence=169.824159
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392737 sequence=172.216896
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972794 sequence=174.189690
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152257 sequence=176.341947
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926527 sequence=179.268474
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978790 sequence=182.247265
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026058 sequence=185.273323
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353148 sequence=187.626470
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391929 sequence=190.018399
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535708 sequence=192.554108
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362536 sequence=194.916643
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516271 sequence=196.432914
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650570 sequence=198.083485
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932166 sequence=200.015651
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.280928 sequence=201.296579
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544319 sequence=202.840898
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965571 sequence=204.806469
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771866 sequence=207.578335
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783704 sequence=211.362039
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.607418 sequence=215.969456
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088274 sequence=219.057731
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671880 sequence=220.729610
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528784 sequence=223.258395
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.320112 sequence=225.578507
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436171 sequence=227.014678
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004522 sequence=228.019201
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.547803 sequence=229.567003
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.637940 sequence=233.204944
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.788936 sequence=238.993879
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763965 sequence=244.757844
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120817 sequence=247.878661
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.680058 sequence=250.558720
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=145 node=N7627 type=observe q_typed_reliable_context=1.377745 sequence=251.936465
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=146 node=N7680 type=observe q_typed_reliable_context=2.828554 sequence=254.765019
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.848397 sequence=255.613416
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333466 sequence=257.946882
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=149 node=N723 type=observe q_typed_reliable_context=2.701520 sequence=260.648402
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=150 node=N4521 type=observe q_typed_reliable_context=2.862605 sequence=263.511007
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=151 node=N694 type=observe q_typed_reliable_context=3.049439 sequence=266.560446
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=152 node=N7624 type=observe q_typed_reliable_context=3.648541 sequence=270.208987
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=153 node=N6948 type=observe q_typed_reliable_context=3.629540 sequence=273.838527
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=154 node=N3467 type=control1 q_typed_reliable_context=1.463266 sequence=275.301794
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=155 node=N5617 type=observe q_typed_reliable_context=2.665091 sequence=277.966884
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=3.203962 sequence=281.170847
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.205957 sequence=283.376804
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.593019 sequence=285.969823
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=159 node=N2102 type=observe q_typed_reliable_context=4.767066 sequence=290.736889
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=160 node=N6531 type=observe q_typed_reliable_context=3.977511 sequence=294.714400
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=161 node=N2149 type=observe q_typed_reliable_context=4.257934 sequence=298.972335
[b15-r10-boundary/return_within_lr2e4/e007] [plan iscas99__b15_1] [plan] step=162 node=N7436 type=observe q_typed_reliable_context=4.116731 sequence=303.089066
