[typed-five-r3/b15_C] [gmean] 2026-07-21T15:50:23 out_dir=autoresearch/loop-260720-0945/typed_winner_round8_five/b15_C
[typed-five-r3/b15_C] [gmean] 2026-07-21T15:50:23 budgets=iscas99__b15_1:278
[typed-five-r3/b15_C] [gmean] 2026-07-21T15:50:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b15_C] [gmean] 2026-07-21T15:50:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.103527
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.502197
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.102573
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.948292 sequence=29.050865
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.795907
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.188483
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.187040
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.343737
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.043490
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.332536 sequence=41.376026
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.946093 sequence=43.322119
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.820572 sequence=45.142691
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.863448
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.805935 sequence=48.669383
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.806348 sequence=49.475732
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.855682 sequence=50.331414
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985756 sequence=53.317170
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.641833
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.113947
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807893 sequence=57.921840
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.668013
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.646301
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831774 sequence=61.478075
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.612470
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615070 sequence=65.227540
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.939825
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.769571
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.370342
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.867298
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.326102
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=73.010564
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738026 sequence=78.748590
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.811383
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.748393
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.888430
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.498489 sequence=86.386919
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295819 sequence=87.682738
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395245 sequence=89.077984
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943222 sequence=90.021206
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944241 sequence=90.965446
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.964186 sequence=91.929633
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916472 sequence=92.846105
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940914 sequence=93.787019
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953488 sequence=94.740507
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.698011
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_reliable_context=0.959555 sequence=96.657566
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.902132 sequence=97.559698
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004439 sequence=98.564137
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=1.114180 sequence=99.678317
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065801 sequence=100.744117
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725392 sequence=102.469509
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.368222
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917928 sequence=104.286150
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024028 sequence=105.310178
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.029835 sequence=106.340013
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967599 sequence=107.307612
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.853817 sequence=108.161429
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406626 sequence=109.568056
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.791142 sequence=110.359198
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245284 sequence=111.604481
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756676 sequence=112.361158
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391537 sequence=113.752695
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758409 sequence=114.511104
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557464 sequence=116.068568
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.770297 sequence=116.838865
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843700 sequence=117.682565
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272582 sequence=118.955147
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117102 sequence=120.072249
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813394 sequence=120.885643
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269409 sequence=122.155052
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752138 sequence=122.907189
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527494 sequence=124.434684
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320239 sequence=125.754923
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515749 sequence=127.270671
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689438 sequence=128.960109
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671019 sequence=130.631129
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992342 sequence=131.623471
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991923 sequence=132.615394
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112731 sequence=133.728125
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311989 sequence=135.040114
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=93 node=N3785 type=control0 q_typed_reliable_context=1.010794 sequence=136.050909
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=94 node=N3827 type=control0 q_typed_reliable_context=2.631303 sequence=138.682212
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386739 sequence=144.068951
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=96 node=N3820 type=control0 q_typed_reliable_context=1.424080 sequence=145.493031
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217618 sequence=146.710649
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466191 sequence=148.176840
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.527273 sequence=149.704112
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386282 sequence=151.090394
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331841 sequence=152.422235
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462480 sequence=153.884716
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321318 sequence=155.206034
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.783298 sequence=156.989332
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444218 sequence=158.433550
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=106 node=N3799 type=control0 q_typed_reliable_context=1.443681 sequence=159.877231
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350894 sequence=161.228124
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=108 node=N3792 type=control0 q_typed_reliable_context=1.323319 sequence=162.551443
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224016 sequence=163.775459
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716818 sequence=165.492277
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312546 sequence=166.804823
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.660053 sequence=168.464875
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336572 sequence=169.801447
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392744 sequence=172.194191
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972797 sequence=174.166988
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152274 sequence=176.319262
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926533 sequence=179.245795
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978783 sequence=182.224578
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026080 sequence=185.250657
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353161 sequence=187.603818
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391950 sequence=189.995769
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535725 sequence=192.531494
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362523 sequence=194.894017
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516259 sequence=196.410276
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650564 sequence=198.060840
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932197 sequence=199.993037
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.280587 sequence=201.273624
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544327 sequence=202.817951
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965592 sequence=204.783543
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=130 node=N7534 type=observe q_typed_reliable_context=2.771891 sequence=207.555434
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=131 node=N7532 type=observe q_typed_reliable_context=3.783625 sequence=211.339059
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=132 node=N3180 type=control1 q_typed_reliable_context=4.607083 sequence=215.946141
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=133 node=N7518 type=observe q_typed_reliable_context=3.088060 sequence=219.034202
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=134 node=N636 type=control1 q_typed_reliable_context=1.671794 sequence=220.705995
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=135 node=N785 type=observe q_typed_reliable_context=2.528722 sequence=223.234718
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=136 node=N616 type=control1 q_typed_reliable_context=2.319628 sequence=225.554346
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=137 node=N7424 type=control1 q_typed_reliable_context=1.436147 sequence=226.990493
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=138 node=N1552 type=observe q_typed_reliable_context=1.004579 sequence=227.995072
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=139 node=N5867 type=observe q_typed_reliable_context=1.548284 sequence=229.543356
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=140 node=N2157 type=observe q_typed_reliable_context=3.639728 sequence=233.183084
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=141 node=N630 type=control1 q_typed_reliable_context=5.788583 sequence=238.971667
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=142 node=N649 type=control1 q_typed_reliable_context=5.763968 sequence=244.735635
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=143 node=N642 type=control1 q_typed_reliable_context=3.120802 sequence=247.856437
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=144 node=N7402 type=observe q_typed_reliable_context=2.670873 sequence=250.527309
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=145 node=N7679 type=observe q_typed_reliable_context=1.379887 sequence=251.907196
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=146 node=N7627 type=observe q_typed_reliable_context=2.827096 sequence=254.734292
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=147 node=N7465 type=observe q_typed_reliable_context=0.849318 sequence=255.583610
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=148 node=N5627 type=observe q_typed_reliable_context=2.333410 sequence=257.917020
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=149 node=N725 type=observe q_typed_reliable_context=2.700030 sequence=260.617050
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=150 node=N7624 type=observe q_typed_reliable_context=2.854035 sequence=263.471085
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=151 node=N6948 type=observe q_typed_reliable_context=2.923660 sequence=266.394745
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=152 node=N3467 type=control1 q_typed_reliable_context=1.712943 sequence=268.107688
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=153 node=N5617 type=observe q_typed_reliable_context=4.153623 sequence=272.261311
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=154 node=N2580 type=control1 q_typed_reliable_context=1.735247 sequence=273.996558
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=155 node=N2149 type=observe q_typed_reliable_context=2.214925 sequence=276.211483
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=156 node=N1586 type=control1 q_typed_reliable_context=2.024057 sequence=278.235541
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=157 node=N647 type=control1 q_typed_reliable_context=2.272031 sequence=280.507572
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=158 node=N1607 type=control1 q_typed_reliable_context=2.671786 sequence=283.179358
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=159 node=N4529 type=observe q_typed_reliable_context=4.691798 sequence=287.871157
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=160 node=N2102 type=observe q_typed_reliable_context=1.746056 sequence=289.617212
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=161 node=N6531 type=observe q_typed_reliable_context=5.157921 sequence=294.775134
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=162 node=N7385 type=observe q_typed_reliable_context=5.391046 sequence=300.166179
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=163 node=N714 type=observe q_typed_reliable_context=2.311780 sequence=302.477959
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=164 node=N7614 type=observe q_typed_reliable_context=2.556330 sequence=305.034289
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=165 node=N723 type=observe q_typed_reliable_context=2.699340 sequence=307.733628
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=166 node=N694 type=observe q_typed_reliable_context=3.525388 sequence=311.259017
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=167 node=N2106 type=observe q_typed_reliable_context=2.229237 sequence=313.488254
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=168 node=N5877 type=observe q_typed_reliable_context=2.915244 sequence=316.403498
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=169 node=N3525 type=control1 q_typed_reliable_context=1.654217 sequence=318.057715
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=170 node=N7436 type=observe q_typed_reliable_context=4.528351 sequence=322.586066
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=171 node=N3295 type=control1 q_typed_reliable_context=1.479343 sequence=324.065409
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=172 node=N4521 type=observe q_typed_reliable_context=4.691934 sequence=328.757343
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=173 node=N3410 type=control1 q_typed_reliable_context=1.966670 sequence=330.724012
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=174 node=N7681 type=observe q_typed_reliable_context=4.427681 sequence=335.151693
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=175 node=N2779 type=control1 q_typed_reliable_context=1.765620 sequence=336.917314
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=176 node=N2721 type=control1 q_typed_reliable_context=1.744769 sequence=338.662083
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=177 node=N7442 type=control0 q_typed_reliable_context=1.386790 sequence=340.048873
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=178 node=N6674 type=observe q_typed_reliable_context=2.932436 sequence=342.981309
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=179 node=N2652 type=control1 q_typed_reliable_context=1.579826 sequence=344.561134
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=180 node=N2894 type=control1 q_typed_reliable_context=1.287537 sequence=345.848672
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=181 node=N763 type=observe q_typed_reliable_context=1.051563 sequence=346.900235
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=182 node=N706 type=observe q_typed_reliable_context=2.434469 sequence=349.334704
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=183 node=N5873 type=observe q_typed_reliable_context=1.297583 sequence=350.632287
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=184 node=N5356 type=observe q_typed_reliable_context=1.706821 sequence=352.339108
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=185 node=N712 type=observe q_typed_reliable_context=2.057188 sequence=354.396296
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=186 node=N2837 type=control1 q_typed_reliable_context=2.019449 sequence=356.415745
[typed-five-r3/b15_C] [plan iscas99__b15_1] [plan] step=187 node=N3009 type=control1 q_typed_reliable_context=1.553334 sequence=357.969080
